handling_equipment_efficiency,warehouse_inventory_level,traffic_congestion_level,scenario
0.97,0.48,0.11,ideal
1.0,0.51,0.06,ideal
0.99,0.49,0.07,ideal
0.98,0.5,0.14,ideal
0.96,0.52,0.11,ideal
0.96,0.49,0.05,ideal
0.95,0.5,0.06,ideal
0.99,0.51,0.12,ideal
0.98,0.49,0.05,ideal
0.99,0.48,0.07,ideal
0.95,0.49,0.1,ideal
1.0,0.49,0.12,ideal
0.99,0.52,0.12,ideal
0.96,0.51,0.07,ideal
0.96,0.51,0.12,ideal
0.96,0.51,0.07,ideal
0.97,0.51,0.08,ideal
0.98,0.49,0.12,ideal
0.97,0.52,0.11,ideal
0.96,0.5,0.13,ideal
0.98,0.51,0.12,ideal
0.96,0.52,0.11,ideal
0.96,0.49,0.06,ideal
0.97,0.48,0.09,ideal
0.97,0.49,0.08,ideal
0.99,0.5,0.07,ideal
0.96,0.51,0.15,ideal
0.98,0.51,0.09,ideal
0.98,0.48,0.14,ideal
0.95,0.5,0.11,ideal
0.98,0.5,0.13,ideal
0.96,0.49,0.1,ideal
0.95,0.48,0.11,ideal
1.0,0.49,0.1,ideal
1.0,0.52,0.07,ideal
0.99,0.49,0.12,ideal
0.97,0.5,0.08,ideal
0.95,0.51,0.05,ideal
0.98,0.49,0.11,ideal
0.97,0.52,0.07,ideal
0.96,0.52,0.14,ideal
0.97,0.49,0.15,ideal
0.95,0.5,0.14,ideal
1.0,0.49,0.09,ideal
0.96,0.49,0.05,ideal
0.98,0.48,0.14,ideal
0.97,0.5,0.09,ideal
0.98,0.5,0.15,ideal
0.98,0.48,0.15,ideal
0.96,0.49,0.14,ideal
1.0,0.52,0.08,ideal
0.99,0.49,0.09,ideal
1.0,0.49,0.14,ideal
0.99,0.5,0.08,ideal
0.98,0.52,0.07,ideal
1.0,0.49,0.11,ideal
0.95,0.51,0.14,ideal
0.96,0.51,0.12,ideal
0.95,0.49,0.11,ideal
0.97,0.51,0.06,ideal
0.97,0.49,0.11,ideal
0.96,0.51,0.15,ideal
0.99,0.51,0.06,ideal
0.97,0.5,0.1,ideal
0.96,0.48,0.14,ideal
0.98,0.51,0.12,ideal
0.96,0.49,0.12,ideal
0.99,0.49,0.12,ideal
0.95,0.48,0.09,ideal
1.0,0.5,0.08,ideal
0.99,0.51,0.13,ideal
0.96,0.48,0.13,ideal
0.95,0.5,0.14,ideal
0.99,0.49,0.14,ideal
0.99,0.51,0.1,ideal
0.99,0.49,0.1,ideal
0.99,0.51,0.13,ideal
0.95,0.5,0.11,ideal
0.97,0.52,0.12,ideal
0.96,0.49,0.13,ideal
0.99,0.49,0.14,ideal
0.98,0.48,0.08,ideal
0.97,0.52,0.09,ideal
0.95,0.52,0.06,ideal
0.97,0.49,0.11,ideal
0.97,0.51,0.05,ideal
0.99,0.51,0.1,ideal
0.98,0.5,0.1,ideal
0.99,0.5,0.08,ideal
0.97,0.49,0.11,ideal
0.96,0.48,0.05,ideal
0.99,0.52,0.05,ideal
0.99,0.52,0.13,ideal
0.98,0.51,0.09,ideal
0.99,0.49,0.06,ideal
0.97,0.49,0.1,ideal
0.98,0.51,0.13,ideal
0.97,0.52,0.07,ideal
0.95,0.52,0.11,ideal
0.96,0.51,0.06,ideal
