handling_equipment_efficiency,warehouse_inventory_level,traffic_congestion_level,scenario
0.67,0.71,0.53,otimizado
0.79,0.83,0.42,otimizado
0.75,0.76,0.43,otimizado
0.72,0.8,0.58,otimizado
0.63,0.88,0.52,otimizado
0.63,0.75,0.4,otimizado
0.61,0.78,0.42,otimizado
0.77,0.85,0.53,otimizado
0.72,0.75,0.4,otimizado
0.74,0.72,0.43,otimizado
0.6,0.76,0.51,otimizado
0.79,0.73,0.54,otimizado
0.77,0.89,0.53,otimizado
0.64,0.86,0.44,otimizado
0.64,0.83,0.54,otimizado
0.64,0.87,0.45,otimizado
0.66,0.86,0.47,otimizado
0.7,0.74,0.55,otimizado
0.69,0.88,0.53,otimizado
0.66,0.81,0.57,otimizado
0.72,0.86,0.53,otimizado
0.63,0.88,0.51,otimizado
0.66,0.76,0.42,otimizado
0.67,0.72,0.47,otimizado
0.69,0.75,0.45,otimizado
0.76,0.79,0.45,otimizado
0.64,0.86,0.59,otimizado
0.7,0.87,0.48,otimizado
0.72,0.7,0.58,otimizado
0.61,0.8,0.53,otimizado
0.72,0.78,0.56,otimizado
0.63,0.74,0.5,otimizado
0.61,0.72,0.52,otimizado
0.79,0.77,0.5,otimizado
0.79,0.89,0.44,otimizado
0.76,0.76,0.54,otimizado
0.66,0.8,0.46,otimizado
0.62,0.84,0.4,otimizado
0.74,0.77,0.53,otimizado
0.69,0.89,0.44,otimizado
0.62,0.89,0.59,otimizado
0.7,0.75,0.59,otimizado
0.61,0.8,0.58,otimizado
0.78,0.76,0.47,otimizado
0.65,0.76,0.4,otimizado
0.73,0.71,0.59,otimizado
0.66,0.82,0.49,otimizado
0.7,0.8,0.59,otimizado
0.71,0.71,0.59,otimizado
0.64,0.76,0.57,otimizado
0.79,0.88,0.46,otimizado
0.76,0.75,0.48,otimizado
0.79,0.73,0.57,otimizado
0.78,0.8,0.46,otimizado
0.72,0.9,0.43,otimizado
0.78,0.75,0.51,otimizado
0.62,0.83,0.59,otimizado
0.64,0.85,0.54,otimizado
0.61,0.75,0.51,otimizado
0.67,0.85,0.42,otimizado
0.68,0.77,0.52,otimizado
0.65,0.83,0.6,otimizado
0.77,0.83,0.43,otimizado
0.67,0.81,0.5,otimizado
0.66,0.72,0.58,otimizado
0.71,0.87,0.55,otimizado
0.63,0.76,0.54,otimizado
0.76,0.74,0.54,otimizado
0.61,0.71,0.47,otimizado
0.8,0.82,0.46,otimizado
0.75,0.84,0.56,otimizado
0.64,0.7,0.56,otimizado
0.6,0.8,0.57,otimizado
0.76,0.75,0.58,otimizado
0.74,0.83,0.5,otimizado
0.75,0.73,0.5,otimizado
0.75,0.84,0.56,otimizado
0.61,0.78,0.53,otimizado
0.67,0.89,0.54,otimizado
0.62,0.73,0.56,otimizado
0.77,0.77,0.58,otimizado
0.72,0.72,0.47,otimizado
0.67,0.88,0.48,otimizado
0.61,0.88,0.42,otimizado
0.66,0.75,0.52,otimizado
0.67,0.83,0.41,otimizado
0.75,0.86,0.49,otimizado
0.73,0.81,0.51,otimizado
0.78,0.81,0.46,otimizado
0.69,0.75,0.52,otimizado
0.62,0.72,0.41,otimizado
0.74,0.88,0.41,otimizado
0.75,0.88,0.56,otimizado
0.71,0.83,0.47,otimizado
0.75,0.77,0.43,otimizado
0.7,0.77,0.5,otimizado
0.7,0.85,0.55,otimizado
0.69,0.88,0.44,otimizado
0.61,0.88,0.52,otimizado
0.62,0.86,0.42,otimizado
